Keyword,Country code,Location,SERP features,Volume,KD,Organic traffic,Current position,Current URL
vibefam,SG,Singapore,People also ask,600,0,627,1,https://vibefam.com/
pickleball court,MY,Malaysia,"Thumbnail, People also ask, Sitelinks",12000,5,576,7,https://vibefam.com/top-pickleball-courts-to-book-in-kuala-lumpur-malaysia/
vibefam,MY,Malaysia,"People also ask, Knowledge panel",200,0,201,1,https://vibefam.com/
pickleball near me,MY,Malaysia,"Local pack, People also ask",2500,5,96,9,https://vibefam.com/top-pickleball-courts-to-book-in-kuala-lumpur-malaysia/
dance studio rental singapore,SG,Singapore,"Thumbnail, Local pack",300,1,66,4,https://vibefam.com/hourly-dance-studio-rentals-in-singapore/
gifted fight academy,SG,Singapore,People also ask,600,0,65,3,https://vibefam.com/client/gifted-fight-academy/
ho cycle,MY,Malaysia,Knowledge panel,600,0,45,5,https://vibefam.com/client/ho-cycle/
one pilates,SG,Singapore,"Thumbnail, People also ask, Sitelinks",450,0,43,4,https://vibefam.com/client/one-pilates/
pickleball courts,MY,Malaysia,"Local pack, Thumbnail, People also ask",700,4,39,7,https://vibefam.com/top-pickleball-courts-to-book-in-kuala-lumpur-malaysia/
classpass singapore review,SG,Singapore,"AI overview, People also ask, Sitelinks, Discussions and forums, Videos",80,0,32,2,https://vibefam.com/my-unfiltered-classpass-review-part-1-2/
beyond movement kl,MY,Malaysia,"Thumbnail, Sitelinks",90,0,32,1,https://vibefam.com/client/beyond-movement-kl/
is classpass worth it,US,United States,"People also ask, Sitelinks, Discussions and forums, Top stories, Thumbnail",1100,4,27,11,https://vibefam.com/my-unfiltered-classpass-review-part-1-2/
elite pilates,MY,Malaysia,,400,0,24,6,https://vibefam.com/client/elite-pilates/
classpass free trial,SG,Singapore,"People also ask, Sitelinks",500,12,17,8,https://vibefam.com/my-unfiltered-classpass-review-part-1-2/
bx studio,CA,Canada,Knowledge panel,1100,6,17,12,https://vibefam.com/client/bx-studio/
stronghold mma,SG,Singapore,"Sitelinks, Knowledge panel",200,0,17,5,https://vibefam.com/client/stronghold-mma/
classpass singapore price,SG,Singapore,"People also ask, Sitelinks",150,9,15,4,https://vibefam.com/my-unfiltered-classpass-review-part-1-2/
vyasa yoga singapore,SG,Singapore,,200,0,15,5,https://vibefam.com/client/vyasa-yoga-singapore/
one pilates singapore,SG,Singapore,"Thumbnail, People also ask",100,0,14,3,https://vibefam.com/client/one-pilates/
sg pilates dhoby ghaut,SG,Singapore,"Thumbnail, Videos, Knowledge panel",600,0,12,11,https://vibefam.com/client/sg-pilates/
glow studio,MY,Malaysia,"Thumbnail, Sitelinks, Knowledge panel",200,0,12,6,https://vibefam.com/client/glow-studio/
versus combat sport,MY,Malaysia,Sitelinks,100,0,11,3,https://vibefam.com/client/versus-combat-sport/
kru prem muay thai,SG,Singapore,People also ask,70,0,11,2,https://vibefam.com/client/kru-prem-muay-thai/
classpass malaysia price,MY,Malaysia,"People also ask, Sitelinks",200,14,10,7,https://vibefam.com/my-unfiltered-classpass-review-part-1-2/
j platform,SG,Singapore,"Sitelinks, People also ask, Video preview",300,0,10,9,https://vibefam.com/client/j-platform/
ozone fitness,MY,Malaysia,,700,3,9,13,https://vibefam.com/client/ozone-fitness/
class pass singapore,SG,Singapore,"People also ask, Sitelinks",200,10,8,8,https://vibefam.com/my-unfiltered-classpass-review-part-1-2/
grit nation,MY,Malaysia,"Thumbnail, Sitelinks",100,0,8,5,https://vibefam.com/client/grit-nation-subang/
classpass price,SG,Singapore,"People also ask, Sitelinks",150,3,7,7,https://vibefam.com/my-unfiltered-classpass-review-part-1-2/
under the light yoga,MY,Malaysia,,60,2,6,6,https://vibefam.com/client/under-the-light-yoga-studio/
vyasa yoga,SG,Singapore,People also ask,200,2,6,8,https://vibefam.com/client/vyasa-yoga-singapore/
class pass cost,US,United States,"People also ask, Sitelinks",1200,8,6,17,https://vibefam.com/my-unfiltered-classpass-review-part-1-2/
classpass credits,SG,Singapore,"Sitelinks, People also ask",200,26,6,9,https://vibefam.com/my-unfiltered-classpass-review-part-1-2/
ting fong enterprise,SG,Singapore,,100,0,6,4,https://vibefam.com/top-3-equipment-suppliers-to-start-your-martial-arts-gym-in-singapore/
bliss shala,SG,Singapore,People also ask,150,1,6,8,https://vibefam.com/client/bliss-shala/
personal training studio rental,SG,Singapore,"Thumbnail, Local pack, Sitelinks",40,0,6,2,https://vibefam.com/private-gym-rentals-for-personal-trainers-in-singapore/
classpass for business,US,United States,"People also ask, Sitelinks",1300,3,5,18,https://vibefam.com/how-classpass-drives-growth-for-fitness-businesses/
sa judo,SG,Singapore,"Local pack, Knowledge panel, Sitelinks",70,0,5,6,https://vibefam.com/client/s-a-judo-academy/
classpass plans,SG,Singapore,People also ask,200,16,5,10,https://vibefam.com/my-unfiltered-classpass-review-part-1-2/
elite performance training,SG,Singapore,"Thumbnail, People also ask",60,0,5,5,https://vibefam.com/client/elite-performance-training/
classpass subscription,SG,Singapore,"People also ask, Sitelinks",60,0,4,5,https://vibefam.com/my-unfiltered-classpass-review-part-1-2/
chok dee muay thai,SG,Singapore,"People also ask, Knowledge panel",90,3,4,7,https://vibefam.com/client/chok-dee-muay-thai/
pilates kepong,MY,Malaysia,"Local pack, Thumbnail, Sitelinks, People also ask",150,0,4,10,https://vibefam.com/client/waves-pilates/
how does classpass work,SG,Singapore,"AI overview, Sitelinks, People also ask, Discussions and forums",90,7,4,8,https://vibefam.com/my-unfiltered-classpass-review-part-1-2/
personal fitness training studio rental,SG,Singapore,"Thumbnail, Local pack, Sitelinks",40,0,4,4,https://vibefam.com/private-gym-rentals-for-personal-trainers-in-singapore/
personal fitness rental space,SG,Singapore,"People also ask, Local pack, Sitelinks",40,0,4,4,https://vibefam.com/private-gym-rentals-for-personal-trainers-in-singapore/
class pass pricing,US,United States,"People also ask, Sitelinks",1100,10,4,17,https://vibefam.com/my-unfiltered-classpass-review-part-1-2/
freelance personal trainer singapore,SG,Singapore,"Top ads, Local pack",50,0,4,5,https://vibefam.com/5-training-spaces-in-singapore-for-freelance-personal-trainers-and-instructors/
corefit fitness,MY,Malaysia,"Thumbnail, People also ask",40,1,4,4,https://vibefam.com/client/corefit-fitness/
classpass pricing,AU,Australia,People also ask,200,3,4,11,https://vibefam.com/my-unfiltered-classpass-review-part-1-2/
studio rental personal fitness training,SG,Singapore,"People also ask, Sitelinks, Local pack",40,0,4,5,https://vibefam.com/private-gym-rentals-for-personal-trainers-in-singapore/
classpass review,SG,Singapore,"People also ask, Discussions and forums, Sitelinks",40,3,4,6,https://vibefam.com/my-unfiltered-classpass-review-part-1-2/
baila fitness,MY,Malaysia,People also ask,30,0,4,3,https://vibefam.com/client/baila-fitness-sabah/
dance studio rental singapore cheap,SG,Singapore,People also ask,30,0,3,3,https://vibefam.com/hourly-dance-studio-rentals-in-singapore/
is classpass worth it,SG,Singapore,"People also ask, Sitelinks, Discussions and forums, Top stories",80,2,3,8,https://vibefam.com/my-unfiltered-classpass-review-part-1-2/
dance studio for rent,SG,Singapore,"People also ask, Sitelinks",40,0,3,4,https://vibefam.com/hourly-dance-studio-rentals-in-singapore/
is classpass worth it,GB,United Kingdom,"People also ask, Sitelinks, Discussions and forums, Top stories",150,3,3,11,https://vibefam.com/my-unfiltered-classpass-review-part-1-2/
sg pilates kembangan,SG,Singapore,Thumbnail,400,0,3,15,https://vibefam.com/client/sg-pilates/
classpass trial,SG,Singapore,"People also ask, Sitelinks",150,12,3,11,https://vibefam.com/my-unfiltered-classpass-review-part-1-2/
pickleball malaysia,MY,Malaysia,"People also ask, Thumbnail",1500,0,3,22,https://vibefam.com/top-pickleball-courts-to-book-in-kuala-lumpur-malaysia/
mma fitness lab,SG,Singapore,People also ask,100,0,3,9,https://vibefam.com/client/mma-fitness-lab/
how much is classpass,AU,Australia,"People also ask, Sitelinks",100,0,3,9,https://vibefam.com/my-unfiltered-classpass-review-part-1-2/
elite pilates kuala lumpur,MY,Malaysia,People also ask,60,0,3,7,https://vibefam.com/client/elite-pilates/
power sutras,HK,Hong Kong,Knowledge panel,70,0,3,8,https://vibefam.com/client/power-sutras/
classpass membership,SG,Singapore,"People also ask, Sitelinks",100,31,3,10,https://vibefam.com/my-unfiltered-classpass-review-part-1-2/
is classpass worth it,AU,Australia,"AI overview, People also ask, Sitelinks, Discussions and forums, Top stories",150,3,2,12,https://vibefam.com/my-unfiltered-classpass-review-part-1-2/
classpass classes,SG,Singapore,Sitelinks,50,2,2,7,https://vibefam.com/my-unfiltered-classpass-review-part-1-2/
skyline aqua,SG,Singapore,"Thumbnail, People also ask",30,0,2,5,https://vibefam.com/client/skyline-aqua/
scheduling software for fitness classes,AU,Australia,"Sitelinks, People also ask",60,7,2,8,https://vibefam.com/best-fitness-class-booking-software-in-australia/
